tool	dataset	replicate	time_cpu	time_elapsed	max_rss
bpcells	1m_brain	rep1	141.38299999999998	144.691	932880384
bpcells	1m_brain	rep2	127.948	131.798	932880384
bpcells	1m_brain	rep3	130.888	133.947	932884480
bpcells	1m_brain	rep4	134.08700000000002	138.976	932880384
bpcells	1m_brain	rep5	130.101	131.798	932876288
bpcells	35k_hematopoiesis	rep1	9.043	9.050999999999998	549363712
bpcells	35k_hematopoiesis	rep2	9.163	9.171	549363712
bpcells	35k_hematopoiesis	rep3	8.988	9.024	549380096
bpcells	35k_hematopoiesis	rep4	9.187	9.195	549367808
bpcells	35k_hematopoiesis	rep5	9.303	9.31	549367808
bpcells	45k_pancreas	rep1	18.051	18.055	553078784
bpcells	45k_pancreas	rep2	18.012999999999998	18.019	553230336
bpcells	45k_pancreas	rep3	18.178	18.19	553082880
bpcells	45k_pancreas	rep4	17.912000000000003	17.926000000000002	553078784
bpcells	45k_pancreas	rep5	18.086	18.106	553074688
bpcells	500k_heart	rep1	166.395	168.381	722464768
bpcells	500k_heart	rep2	162.717	164.02800000000002	722468864
bpcells	500k_heart	rep3	160.84799999999998	163.403	722370560
bpcells	500k_heart	rep4	168.15	170.80700000000002	722329600
bpcells	500k_heart	rep5	163.059	163.823	722333696
unix_sort	1m_brain	rep1	NA	5658.82754945755	4186042368
unix_sort	1m_brain	rep2	NA	5589.207981109619	4186042368
unix_sort	1m_brain	rep3	NA	5622.654550552368	4186042368
unix_sort	1m_brain	rep4	NA	5597.490753889084	4186042368
unix_sort	1m_brain	rep5	NA	5664.838477134705	4186042368
unix_sort	35k_hematopoiesis	rep1	NA	289.4998025894165	4295790592
unix_sort	35k_hematopoiesis	rep2	NA	279.4832525253296	4295786496
unix_sort	35k_hematopoiesis	rep3	NA	278.77536129951477	4295782400
unix_sort	35k_hematopoiesis	rep4	NA	281.9660041332245	4295786496
unix_sort	35k_hematopoiesis	rep5	NA	281.73166489601135	4295782400
unix_sort	45k_pancreas	rep1	NA	557.2299072742462	4295786496
unix_sort	45k_pancreas	rep2	NA	553.1737475395203	4295786496
unix_sort	45k_pancreas	rep3	NA	554.073893070221	4295786496
unix_sort	45k_pancreas	rep4	NA	562.6957037448883	4295786496
unix_sort	45k_pancreas	rep5	NA	557.0661883354187	4295782400
unix_sort	500k_heart	rep1	NA	8350.921777486801	4295901184
unix_sort	500k_heart	rep2	NA	8426.657361507416	4295901184
unix_sort	500k_heart	rep3	NA	8327.765253782272	4295901184
unix_sort	500k_heart	rep4	NA	8742.42404294014	4295901184
unix_sort	500k_heart	rep5	NA	8331.219909667969	4295901184
