input	method	replicate	time_cpu	time_elapsed	max_rss
compress	exact	rep1	92708.055	3140.527	41916600320
compress	exact	rep2	92098.633	3077.8689999999997	41969975296
compress	exact	rep3	90933.518	3036.574	41950732288
compress	randomized	rep1	80723.808	3354.49	52670214144
compress	randomized	rep2	79129.972	3298.338	52638253056
compress	randomized	rep3	79123.416	3274.6560000000004	52628770816
uncompress	exact	rep1	79173.158	27756.232	40485883904
uncompress	exact	rep2	80242.409	28421.646	40565895168
uncompress	exact	rep3	79560.286	27949.419	40526151680
uncompress	randomized	rep1	82652.92199999999	3458.982	51061870592
uncompress	randomized	rep2	82503.70099999999	3442.418	51035877376
uncompress	randomized	rep3	80976.663	3391.011	51057725440
